id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
370850709041016,129,1,99,29,119,1017.1,154.8,577.8,1749.7,146159.91138233498,6717.21242829554
370850705003022,27,0,0,27,15,105,32.4,46.8,184.2,170131.68470466722,3592.392576298483
370850704011041,0,0,0,0,6,4.2,0,3.6,7.8,176740.77884444807,473.4784652826155
370850702002001,21,21,0,0,2,16.1,25.2,11.7,53,136876.02230905046,116.35409637282893
370850703004031,0,0,0,0,1,0.7,0,0.6,1.3,167421.59059690783,12920.388876580419
370850703004010,0,0,0,0,11,7.7,0,6.6,14.3,167720.22846866585,7170.654686527047
370850713013006,0,0,0,0,9,6.3,0,5.4,11.7,86250.64454793917,64.86991760033234
370850705001028,4,0,3,1,43,58.8,4.8,41.3,104.9,168669.16730571433,2359.1345774512824
370850706002021,0,0,0,0,1,0.7,0,0.6,1.3,165607.91849879504,33.104869791570664
370850710021024,0,0,0,0,36,25.2,0,21.6,46.8,46713.82996472591,59.382349183084635
370850710021039,6,6,0,0,4,6.999999999999999,7.2,5.4,19.6,31326.79620533576,23.51802608541149
370850708023005,5,2,0,3,7,16.8,6,9.4,32.2,169208.23332582222,65.28474530952381
370850706001048,0,0,0,0,45,31.5,0,27,58.5,136290.22952938246,346.1104368412243
370850702002010,5,5,0,0,30,24.5,6,20.5,51,115160.67588981819,297.29105441215194
370850701003051,0,0,0,0,6,4.2,0,3.6,7.8,161156.14499056514,19246.64935074381
370850701002012,0,0,0,0,2,1.4,0,1.2,2.6,158647.6366501381,22402.800057056484
370850703002018,0,0,0,0,7,4.9,0,4.2,9.1,163651.0098585123,17682.5495230278
370850703003026,0,0,0,0,23,16.1,0,13.8,29.9,165478.00107094223,19450.37322396575
370850702002043,0,0,0,0,9,6.3,0,5.4,11.7,156419.28584364257,13771.896660289942
370850709021015,0,0,0,0,4,2.8,0,2.4,5.2,150789.55646578048,5556.812357585083
370850713021008,0,0,0,0,21,14.7,0,12.6,27.3,85144.40933828919,358.47094288005565
370850711023002,0,0,0,0,14,9.8,0,8.4,18.2,67688.98955469049,33.100579857000056
370850713031012,0,0,0,0,5,3.5,0,3,6.5,72348.42329238611,550.6054444755716
370850702003029,0,0,0,0,8,5.6,0,4.8,10.4,157638.20113256015,20539.626146062074
370850714011002,18,18,0,0,18,25.2,21.6,19.8,66.6,76153.38997324288,131.37423966005593
370850712021025,0,0,0,0,7,4.9,0,4.2,9.1,114589.04268310353,95.7275133585722
370850710022009,1,0,0,1,14,13.3,1.2,9.8,24.3,130207.17542546443,74.91278236229878
370850713022022,0,0,0,0,11,7.7,0,6.6,14.3,104337.48864343138,520.7224851135205
370850705002001,0,0,0,0,6,4.2,0,3.6,7.8,175871.78385854926,258.5763915385781
370850714022016,1,0,0,1,1,4.2,1.2,2,7.4,73991.51130322546,3129.5408722767265
370850705001039,0,0,0,0,7,4.9,0,4.2,9.1,178084.77969252836,3790.6441390737104
370850709021052,0,0,0,0,8,5.6,0,4.8,10.4,159780.62800850236,65.9348765922288
370850701003010,0,0,0,0,9,6.3,0,5.4,11.7,162995.18651075548,9712.325621375316
370850707001087,0,0,0,0,19,13.3,0,11.4,24.7,139414.45354132005,87.43120414160232
370850712022017,0,0,0,0,5,3.5,0,3,6.5,72734.37687692189,238.70666628251888
370850704012044,0,0,0,0,1,0.7,0,0.6,1.3,177347.27798967488,5451.7892383951075
370850701003070,7,6,0,1,1,8.4,8.4,5,21.8,156860.40752348976,20655.560175400908
370850709031000,74,0,0,74,6,263.2,88.8,107.2,459.2,158906.42291239646,8953.599867634033
370850714022061,122,0,111,11,22,986.3,146.4,550.3,1683,52560.65196127104,1684.2751449438886
370850705002006,22,22,0,0,12,23.8,26.4,18.2,68.4,170952.14649579444,1245.0488743898559
370850705004019,0,0,0,0,1,0.7,0,0.6,1.3,166295.77886743005,94.7612167507423
370850703004023,0,0,0,0,6,4.2,0,3.6,7.8,160379.8855657221,4249.5116115020865
370850707001059,57,2,4,51,4,216.3,68.4,93.6,378.3,198988.71095009724,14993.970049724325
370850703002038,1,0,0,1,8,9.1,1.2,6.2,16.5,164309.22935440525,20662.505798300775
370850707001076,0,0,0,0,1,0.7,0,0.6,1.3,198952.11031311413,15061.53226769113
370850701002025,0,0,0,0,2,1.4,0,1.2,2.6,155258.21105882432,20716.74471422223
370850703002010,0,0,0,0,1,0.7,0,0.6,1.3,160977.1643250353,13968.500092703785
370850703004022,3,3,0,0,117,83.99999999999999,3.6,71.7,159.3,157563.84718330263,3325.5463567997344
370850713013020,0,0,0,0,4,2.8,0,2.4,5.2,98050.23709774151,45.61501431271344
370850713013010,0,0,0,0,23,16.1,0,13.8,29.9,59876.98819894778,190.78504628342532
370850714022051,44,14,0,30,49,149.1,52.8,78.4,280.3,45784.95593980274,729.5025361410761
370850702003012,0,0,0,0,4,2.8,0,2.4,5.2,157299.09814757525,15080.140973099158
370850707002029,0,0,0,0,6,4.2,0,3.6,7.8,189986.04279130528,133.6908007866612
370850709042010,0,0,0,0,10,7,0,6,13,136867.8524526015,388.38556085255505
370850712011041,0,0,0,0,2,1.4,0,1.2,2.6,121687.42512918968,102.33211870259323
370850712042010,0,0,0,0,11,7.7,0,6.6,14.3,92722.24461758642,134.062074806332
370850708011012,0,0,0,0,5,3.5,0,3,6.5,158366.7819699349,250.7062143288332
370850707001065,0,0,0,0,2,1.4,0,1.2,2.6,197034.5623456934,14814.830505099284
370850712041011,0,0,0,0,43,30.1,0,25.8,55.9,87170.36020035889,55.14222122050598
370850704023058,0,0,0,0,8,5.6,0,4.8,10.4,171933.15380609164,5256.304602212166
370850705003011,0,0,0,0,118,82.6,0,70.8,153.4,164647.12452483986,1468.620316777778
370850711023012,0,0,0,0,1,0.7,0,0.6,1.3,62355.88993301551,70.97445024400625
370850705002037,13,0,0,13,14,55.3,15.6,26.6,97.5,177983.3162869011,5883.324789959297
370850705004011,3,0,0,3,12,18.9,3.6,11.4,33.9,168886.68899488472,317.4641559284404
370850704011034,0,0,0,0,26,18.2,0,15.6,33.8,166405.2506640773,75.54538507898496
370850709031009,0,0,0,0,13,9.1,0,7.8,16.9,144190.5701953725,5498.3458367208395
370850710022013,0,0,0,0,22,15.4,0,13.2,28.6,180799.2534384125,136.06867204367933
370850706002003,0,0,0,0,9,6.3,0,5.4,11.7,156692.2037935911,12.956747233830342
370850704024017,0,0,0,0,28,19.6,0,16.8,36.4,161768.79965997345,55.73391074929746
370850704011005,0,0,0,0,22,15.4,0,13.2,28.6,155315.7031034206,47.129456868522496
370850710041006,9,4,0,5,59,61.6,10.8,44.4,116.8,108791.81793569156,167.60708079077233
370850705001006,0,0,0,0,1,0.7,0,0.6,1.3,179772.936514878,1638.5308545120079
370850705002039,0,0,0,0,12,8.4,0,7.2,15.6,178575.91528502066,5758.697966062568
370850701003023,0,0,0,0,6,4.2,0,3.6,7.8,163886.23775479046,17737.675556543552
370850708022012,16,0,0,16,32,78.4,19.2,41.6,139.2,178199.69978917847,273.9128496411244
370850709031037,0,0,0,0,9,6.3,0,5.4,11.7,137886.39159020706,1233.5374247176885
370850707001075,0,0,0,0,2,1.4,0,1.2,2.6,195498.70474279055,15007.720649761068
370850701003056,0,0,0,0,8,5.6,0,4.8,10.4,160655.11195512983,18049.015497501554
370850701003049,0,0,0,0,2,1.4,0,1.2,2.6,161972.0987018249,21504.733932094146
370850703002024,0,0,0,0,3,2.1,0,1.8,3.9,162642.97922233067,16754.283649457426
370850709011021,0,0,0,0,7,4.9,0,4.2,9.1,135586.9292258007,7548.87218867509
370850713031010,3,0,3,0,9,31.5,3.6,19.5,54.6,63728.837120254844,136.68089787769702
370850706001047,0,0,0,0,17,11.9,0,10.2,22.1,135104.13296551528,344.9352232727572
370850707001083,0,0,0,0,16,11.2,0,9.6,20.8,198033.28085928754,14928.80985602386
370850713012006,0,0,0,0,4,2.8,0,2.4,5.2,100804.26670856516,93.60279733972162
370850714022008,0,0,0,0,11,7.7,0,6.6,14.3,62559.942969971766,2941.379955660319
370850712011058,0,0,0,0,8,5.6,0,4.8,10.4,108651.02313331355,21.366737622749064
370850703002022,0,0,0,0,8,5.6,0,4.8,10.4,162432.42468921293,18817.627839031597
370850714011039,0,0,0,0,11,7.7,0,6.6,14.3,69737.97863453376,66.087535223711
370850709021046,4,0,0,4,3,16.1,4.8,7.4,28.3,154045.20381750693,386.1484060446647
370850713032000,26,0,16,10,678,644,31.2,496,1171.2,61706.867308449415,1468.7516838335305
370850711022010,0,0,0,0,31,21.7,0,18.6,40.3,87725.64893830547,78.32063937785065
370850705001055,0,0,0,0,10,7,0,6,13,178769.06884129066,4072.465433035386
370850705001037,0,0,0,0,8,5.6,0,4.8,10.4,177500.94700840482,3663.7145345304834
370850705002068,0,0,0,0,9,6.3,0,5.4,11.7,179679.41272247568,4958.692769190969
370850712011026,0,0,0,0,3,2.1,0,1.8,3.9,168271.62995168238,21.010704391663165
370850711022002,0,0,0,0,11,7.7,0,6.6,14.3,139324.2555950326,700.7529272246206
370850711012003,1,1,0,0,12,9.1,1.2,7.7,17.999999999999996,114214.7681507834,75.98871963185269
370850709042012,0,0,0,0,46,32.2,0,27.6,59.8,132890.17760865326,113.11778778857801
370850701001059,4,4,0,0,12,11.2,4.8,9.2,25.2,116177.22956604617,105.49915878209148
370850705001010,3,0,3,0,1,25.9,3.6,14.7,44.2,176850.46912336774,3447.5429510109357
370850704011024,1,0,0,1,13,12.6,1.2,9.2,23,162940.5116512301,57.767910166752195
370850705001052,0,0,0,0,18,12.6,0,10.8,23.4,179677.7985465417,4827.560538831235
370850714022018,2,0,0,2,179,132.3,2.4,110.2,244.9,43603.93174870466,404.58482222675565
370850704021012,0,0,0,0,8,5.6,0,4.8,10.4,157705.76328221013,193.79368597564235
370850708023026,3,0,0,3,4,13.3,3.6,6.6,23.5,188293.35628743414,12596.518249390147
370850712031004,0,0,0,0,23,16.1,0,13.8,29.9,94840.62057063573,426.29421310263973
370850701003076,0,0,0,0,7,4.9,0,4.2,9.1,160422.45656801245,17065.498495292537
370850702003046,15,11,0,4,2,23.1,18,12.3,53.4,155977.78834967798,21130.596694642292
370850709011007,0,0,0,0,16,11.2,0,9.6,20.8,116080.22243638683,112.39453470496017
370850712042037,9,9,0,0,20,20.3,10.8,16.5,47.6,103018.35071275031,118.65083717128172
370850713022006,0,0,0,0,47,32.9,0,28.2,61.1,111243.839833583,74.82013968373161
370850703003035,9,0,0,9,8,37.1,10.8,17.4,65.3,165489.79057288807,19973.218173108107
370850707001066,11,0,0,11,1,39.2,13.2,15.999999999999998,68.4,180383.09785251197,396.43940316441024
370850703002026,17,1,10,6,6,109.9,20.4,59.5,189.8,164031.28378571806,19554.669997063338
370850711011007,0,0,0,0,3,2.1,0,1.8,3.9,44298.02351429451,28.275828635387636
370850714022047,0,0,0,0,24,16.8,0,14.4,31.2,61340.84995879714,1621.0181767099184
370850704023051,5,5,0,0,12,11.9,6,9.7,27.6,174269.15200466398,5816.285711069975
370850705001011,85,4,17,64,13,378.7,102,179.3,660,179232.63838998394,3119.458920642663
370850704011065,7,0,0,7,11,32.2,8.4,16.4,57,172267.37769228005,341.90841447360583
370850710021043,0,0,0,0,7,4.9,0,4.2,9.1,48126.34295036147,77.88447524020808
370850711022011,8,0,0,8,21,42.7,9.6,23.8,76.1,118511.45906816264,98.1907653046683
370850712022003,3,0,0,3,100,80.5,3.6,64.2,148.3,62002.678387564665,272.84386439769145
370850714023004,0,0,0,0,133,93.1,0,79.8,172.9,53888.40915867358,182.6503794720887
370850708011011,0,0,0,0,3,2.1,0,1.8,3.9,159811.82161903524,340.37645469953395
370850704012021,3,0,0,3,13,19.6,3.6,12,35.2,176949.14601324828,5824.287844021364
370850703003025,0,0,0,0,2,1.4,0,1.2,2.6,162810.7637289023,16239.990249082766
370850710041000,0,0,0,0,11,7.7,0,6.6,14.3,108053.59404269904,166.8067289547127
370850701003021,0,0,0,0,2,1.4,0,1.2,2.6,165323.1628344268,6897.975358073048
370850709021008,0,0,0,0,20,14,0,12,26,151490.54818529886,6242.2489782226285
370850706001036,0,0,0,0,3,2.1,0,1.8,3.9,162978.4055237907,59.75203528180708
370850712011052,0,0,0,0,19,13.3,0,11.4,24.7,124004.03651216165,57.816851987901906
370850712042017,0,0,0,0,2,1.4,0,1.2,2.6,97063.2201020992,1009.2859032703961
370850708021007,0,0,0,0,6,4.2,0,3.6,7.8,164747.81492454873,725.6392838344815
370850701002013,0,0,0,0,7,4.9,0,4.2,9.1,157170.24480810383,23330.703245404817
370850703002006,0,0,0,0,1,0.7,0,0.6,1.3,161403.4272777483,12811.26346129444
370850702003036,0,0,0,0,7,4.9,0,4.2,9.1,157310.42969646095,21880.70917812408
370850709021048,0,0,0,0,83,58.1,0,49.8,107.9,153650.3830222785,110.75768007830503
370850702003050,9,0,2,7,1,42,10.8,19.8,72.6,160418.14489629897,23595.7415655762
370850712032002,4,0,0,4,4,16.8,4.8,8,29.6,86394.40035331347,1524.8611866007864
370850712031005,0,0,0,0,10,7,0,6,13,90938.07045725694,878.4244510561105
370850706001002,1,1,0,0,10,7.7,1.2,6.5,15.4,60022.01238747551,19.27300886719339
370850712042042,61,5,0,56,121,284.2,73.2,153.5,510.9,94658.03568443087,609.0640737821586
370850712021004,3,0,0,3,29,30.8,3.6,21.6,56,104453.3061295064,4225.778630125595
370850704023057,0,0,0,0,3,2.1,0,1.8,3.9,172022.49451365496,5270.3938976689715
370850705004014,0,0,0,0,2,1.4,0,1.2,2.6,174310.64847988146,294.5446951446353
370850704023061,0,0,0,0,4,2.8,0,2.4,5.2,174553.99249407646,5676.3903967714305
370850701001020,2,0,2,0,35,41.3,2.4,30.4,74.1,129484.29161949591,325.73598197223794
370850711021016,0,0,0,0,10,7,0,6,13,108083.51764230816,13.323239049116632
370850706001023,0,0,0,0,3,2.1,0,1.8,3.9,169158.1775923724,49.09282352662298
370850710022006,20,7,0,13,60,92.4,24,57.7,174.1,81570.82848599118,183.89385924125912
370850703004009,0,0,0,0,15,10.5,0,9,19.5,175559.05914490178,178.1056690273282
370850701003048,10,10,0,0,3,9.1,12,6.8,27.9,160533.87411709793,21994.58129149445
370850709021002,17,17,0,0,1,12.6,20.4,9.1,42.1,151698.3117432531,267.8120855531385
370850714011020,0,0,0,0,1,0.7,0,0.6,1.3,67546.33048768507,52.259591796774316
370850708011013,78,24,0,54,103,277.9,93.6,149.4,520.9,142569.5806114477,590.2247432078434
370850703001044,1,0,1,0,14,18.2,1.2,13.1,32.5,161787.21253837956,12794.66401847098
370850705002016,9,0,8,1,5,74.2,10.8,42,127,160218.13607030534,5270.907941269042
370850709031035,2,0,0,2,33,30.1,2.4,22.6,55.1,154169.6139845109,77.85754843655657
370850704023072,15,15,0,0,14,20.3,18,15.9,54.2,169874.50544653917,57.73526104258669
370850710033002,0,0,0,0,10,7,0,6,13,96554.02347144764,89.87683754083042
370850710022004,0,0,0,0,10,7,0,6,13,70329.24283818428,24.835914519395637
370850707001041,1,0,0,1,163,117.6,1.2,99.2,218,168466.87553193825,2656.4892566015865
370850712031009,123,16,23,84,190,631.4,147.6,347.7,1126.7,85070.9829957191,1534.7735575884449
370850704021011,0,0,0,0,4,2.8,0,2.4,5.2,157269.64032522368,190.20381946560457
370850711011021,0,0,0,0,43,30.1,0,25.8,55.9,110195.90711240591,57.37955945061347
370850705001031,3,0,0,3,10,17.5,3.6,10.2,31.3,171978.76854925932,2792.10723629523
370850709021061,0,0,0,0,20,14,0,12,26,155379.99937108945,108.16561113398296
370850706001025,3,3,0,0,20,16.1,3.6,13.5,33.2,146311.2026527404,66.8769998803488
370850711022005,0,0,0,0,9,6.3,0,5.4,11.7,117469.79823135986,168.588872240232
370850707001072,0,0,0,0,18,12.6,0,10.8,23.4,196815.7599049973,13459.636829403908
370850701002020,17,0,0,17,5,63,20.4,26.8,110.2,156124.86438327463,19733.832893314186
370850714022012,0,0,0,0,23,16.1,0,13.8,29.9,63317.432194093526,2719.125444815056
370850711021013,8,8,0,0,7,10.5,9.6,8.2,28.3,108488.19373907275,32.076027910378365
370850712021016,2,2,0,0,10,8.4,2.4,7,17.8,94654.15517977213,25.12472188407047
370850709021033,0,0,0,0,3,2.1,0,1.8,3.9,154790.7716985647,8804.988111445977
370850704023055,0,0,0,0,1,0.7,0,0.6,1.3,173106.00994521505,5606.248851120685
370850706002008,0,0,0,0,2,1.4,0,1.2,2.6,188068.36574966888,187.0177031084207
370850712011048,0,0,0,0,6,4.2,0,3.6,7.8,123677.11746541156,313.5566439550197
370850704023021,0,0,0,0,3,2.1,0,1.8,3.9,173432.9444052032,5459.401632860359
370850711023001,1,0,0,1,35,28,1.2,22.4,51.6,76940.28339390068,53.18105727486575
370850713011003,0,0,0,0,25,17.5,0,15,32.5,71220.7697437052,63.51737856099109
370850704011036,63,0,0,63,7,225.4,75.6,92.4,393.4,172669.89697322805,479.36740377602297
370850712042041,0,0,0,0,1,0.7,0,0.6,1.3,113057.50520880136,207.18662499441984
370850706001019,0,0,0,0,10,7,0,6,13,166734.13446589105,40.31529970497742
370850714023014,0,0,0,0,46,32.2,0,27.6,59.8,45792.11791621968,80.04728558167191
370850714024008,1,0,0,1,57,43.4,1.2,35.6,80.2,62584.27906129518,596.4538169297493
370850704023046,0,0,0,0,5,3.5,0,3,6.5,173186.42076160936,5569.055374340405
370850703004008,0,0,0,0,12,8.4,0,7.2,15.6,173588.4815826859,126.72694365594678
370850710022000,0,0,0,0,4,2.8,0,2.4,5.2,92108.31336191879,38.70057319488147
370850707002012,0,0,0,0,5,3.5,0,3,6.5,196840.13859326462,14393.005571168622
370850704012030,8,8,0,0,29,25.9,9.6,21.4,56.9,167181.68479576657,2371.1449195493797
370850701003081,0,0,0,0,8,5.6,0,4.8,10.4,160221.46948745358,15356.44186099272
370850713013011,13,0,10,3,14,104.3,15.6,59.6,179.5,69148.2452343973,232.68962026188336
370850713022001,0,0,0,0,6,4.2,0,3.6,7.8,96653.0080016421,84.4986303206627
370850708023022,0,0,0,0,15,10.5,0,9,19.5,174224.17024486104,12097.825907563194
370850707002020,23,0,15,8,11,161.7,27.6,88.3,277.6,197162.36559541314,12776.892172554517
370850713022010,0,0,0,0,47,32.9,0,28.2,61.1,103281.15255630342,500.8997920780982
370850712011024,0,0,0,0,15,10.5,0,9,19.5,177834.39555151202,387.2776696524879
370850703001008,0,0,0,0,1,0.7,0,0.6,1.3,152651.58110472083,790.9164750517829
370850701001023,44,44,0,0,18,43.4,52.8,32.8,129,160074.83181920173,12596.363405046855
370850704011043,0,0,0,0,21,14.7,0,12.6,27.3,174935.08106749618,354.58531831085645
370850705002031,0,0,0,0,18,12.6,0,10.8,23.4,179052.26804201808,4876.686716241095
370850711021017,0,0,0,0,6,4.2,0,3.6,7.8,137694.02736599284,8.445376051777398
370850704011032,0,0,0,0,42,29.4,0,25.2,54.6,173116.03380608856,89.9707310324432
370850710032008,0,0,0,0,48,33.6,0,28.8,62.4,124032.4710461984,203.02036589767832
370850714022031,7,0,2,5,104,107.1,8.4,78.8,194.3,7938.6997851619535,173.47545683668426
370850704023059,0,0,0,0,6,4.2,0,3.6,7.8,173733.843810262,5464.73209047046
370850701002003,3,0,3,0,1,25.9,3.6,14.7,44.2,159843.40088507326,23668.43829819136
370850705003046,0,0,0,0,1,0.7,0,0.6,1.3,172676.7552708773,5447.761783724201
370850705002058,11,0,0,11,13,47.6,13.2,23.2,84,178792.52513381056,5536.3809386714665
370850709031019,0,0,0,0,55,38.5,0,33,71.5,154505.36891772502,1495.7423981214547
370850709031008,0,0,0,0,88,61.6,0,52.8,114.4,144056.41767379857,5269.333520811565
370850712011021,0,0,0,0,4,2.8,0,2.4,5.2,178021.33213576637,127.49548020215681
370850710021056,0,0,0,0,2,1.4,0,1.2,2.6,81038.83726111385,361.72513555062017
370850708022002,0,0,0,0,3,2.1,0,1.8,3.9,158640.96974034712,164.3918133677043
370850710041015,13,13,0,0,14,18.9,15.6,14.9,49.4,133254.25205462822,144.30541486553312
370850707002031,9,9,0,0,17,18.2,10.8,14.7,43.7,181461.71995076883,541.3198483691201
370850707002019,0,0,0,0,3,2.1,0,1.8,3.9,197353.3837932632,14328.833498287819
370850704024006,1,1,0,0,52,37.1,1.2,31.7,70,152159.10700133414,118.664580265301
370850712022010,0,0,0,0,76,53.2,0,45.6,98.8,86237.18122093985,1580.6061126219954
370850701002005,27,0,0,27,7,99.4,32.4,42,173.8,160596.82265703814,24572.780347815555
370850712011018,12,12,0,0,12,16.8,14.4,13.2,44.4,67804.97301045957,98.34848783974559
370850713034017,0,0,0,0,11,7.7,0,6.6,14.3,112276.15494814032,622.6756281571583
370850707001019,0,0,0,0,11,7.7,0,6.6,14.3,174876.63363358847,10890.865268081507
370850712031000,16,0,0,16,50,91,19.2,52.4,162.6,91120.64729588473,223.5404619331932
370850711011015,0,0,0,0,1,0.7,0,0.6,1.3,94755.07374097264,117.83188023802576
370850703001001,0,0,0,0,3,2.1,0,1.8,3.9,148617.74841837873,30.446736156470305
370850704021004,6,6,0,0,80,60.2,7.2,51,118.4,140780.7607567382,144.8863465989917
370850708023034,5,5,0,0,81,60.2,6,51.1,117.3,184037.35962473298,12299.59470879874
370850702002034,0,0,0,0,6,4.2,0,3.6,7.8,157706.50618372308,9933.23634063672
370850705002044,0,0,0,0,8,5.6,0,4.8,10.4,179660.32828130032,6048.1017980719735
370850710041012,0,0,0,0,6,4.2,0,3.6,7.8,143018.39347093078,99.81855264434313
370850712042034,0,0,0,0,15,10.5,0,9,19.5,89011.95830348627,533.6671218846355
370850709011012,0,0,0,0,30,21,0,18,39,131797.46575344363,6008.667025343883
370850709021003,0,0,0,0,1,0.7,0,0.6,1.3,141386.53626995697,299.89303902868505
370850701001036,1,0,0,1,20,17.5,1.2,13.4,32.1,139313.43137866893,1042.6223045215138
370850705001017,4,0,0,4,65,59.5,4.8,44.6,108.9,171456.6705573083,2867.9741060706424
370850701002033,0,0,0,0,35,24.5,0,21,45.5,146734.20227205186,11855.057718452998
370850702003026,0,0,0,0,16,11.2,0,9.6,20.8,153894.291396946,18493.196703498594
370850703004013,1,0,0,1,97,71.4,1.2,59.6,132.2,168312.99182846973,5493.098644302183
370850714011046,5,0,0,5,152,123.9,6,98.2,228.1,77441.19509596682,317.7126031747389
370850713011002,0,0,0,0,23,16.1,0,13.8,29.9,55160.29844426146,63.794914258609545
370850711012010,82,0,0,82,41,315.7,98.4,139.4,553.5,124501.4315423463,607.5958970434413
370850703004032,0,0,0,0,24,16.8,0,14.4,31.2,164203.26804500647,4254.940204160128
370850710021031,11,3,0,8,108,105.7,13.2,77.5,196.4,66758.31853222562,241.17448920526124
370850713013015,0,0,0,0,30,21,0,18,39,90841.24117070413,61.75523978918576
370850704012008,4,0,3,1,81,85.4,4.8,64.1,154.3,173186.1200415753,4826.520505249326
370850707001033,0,0,0,0,1,0.7,0,0.6,1.3,198515.98572851808,14790.062304535615
370850705002084,308,3,246,59,1,2275.7,369.6,1240.9,3886.2,172605.91205264587,9915.42356822585
370850711011010,0,0,0,0,25,17.5,0,15,32.5,37564.065329181176,34.36417109783908
370850704023025,6,0,0,6,3,23.1,7.2,10.2,40.5,174675.96870143944,5870.784216313439
370850705001056,0,0,0,0,5,3.5,0,3,6.5,179347.49298233117,4517.381208120355
370850705002069,0,0,0,0,14,9.8,0,8.4,18.2,178956.4672636149,4923.386939066649
370850712022005,0,0,0,0,14,9.8,0,8.4,18.2,79948.80788072513,301.2583755841049
370850704021009,10,8,0,2,45,44.1,12,33.8,89.9,140662.86840387518,95.87900883412748
370850704011033,0,0,0,0,3,2.1,0,1.8,3.9,176906.33888740398,22.94556951879597
370850709011047,3,0,0,3,6,14.7,3.6,7.8,26.1,151115.8214259386,10017.112907182545
370850705002004,0,0,0,0,2,1.4,0,1.2,2.6,174509.96493137878,425.59214068617905
370850713033004,14,0,0,14,303,261.1,16.8,201.4,479.3,55229.79837385654,484.94070498285276
370850705002062,0,0,0,0,15,10.5,0,9,19.5,179426.05615466717,5383.0542436377955
370850705001036,0,0,0,0,16,11.2,0,9.6,20.8,177961.28957437296,3840.7709458882555
370850705004015,0,0,0,0,2,1.4,0,1.2,2.6,174731.1312157438,381.66355742157685
370850703004019,1,0,0,1,26,21.7,1.2,17,39.9,167449.8212190086,6776.374571158914
370850714011040,0,0,0,0,16,11.2,0,9.6,20.8,78119.40783385908,124.24430772796697
370850701003079,0,0,0,0,6,4.2,0,3.6,7.8,159749.5665730055,16007.34627620574
370850704011012,0,0,0,0,13,9.1,0,7.8,16.9,179762.35674640766,75.8453445349479
370850704011054,2,0,0,2,4,9.8,2.4,5.2,17.4,158137.78251655138,460.7686815509163
370850704012000,2,0,0,2,14,16.8,2.4,11.2,30.4,165077.5580320546,123.2140401749531
370850703001023,0,0,0,0,5,3.5,0,3,6.5,158697.8856201439,6161.584984165691
370850713032004,0,0,0,0,34,23.8,0,20.4,44.2,64445.36458080752,1738.2314819098422
370850710032007,0,0,0,0,92,64.4,0,55.2,119.6,134602.93593720664,199.54999796200534
370850712021017,0,0,0,0,40,28,0,24,52,106062.35431715632,4256.922920950454
370850704023016,0,0,0,0,2,1.4,0,1.2,2.6,174369.75139427878,5716.110240107473
370850701002023,4,0,0,4,99,83.3,4.8,65,153.1,148263.22213341985,4237.544796447235
370850702003019,28,15,0,13,107,130.9,33.6,89.9,254.4,146971.84876602748,2280.849764329325
370850707001046,0,0,0,0,29,20.3,0,17.4,37.7,185822.66170723218,2380.978792106784
370850704021003,0,0,0,0,4,2.8,0,2.4,5.2,162799.15264362266,89.51815850895511
370850708023037,0,0,0,0,10,7,0,6,13,183785.33776292263,12442.037180324227
370850705001047,0,0,0,0,1,0.7,0,0.6,1.3,182424.0754419255,4298.358644978215
370850706002022,0,0,0,0,15,10.5,0,9,19.5,161269.25763344704,60.918252102669825
370850714022022,0,0,0,0,23,16.1,0,13.8,29.9,51849.44052020255,535.6608611835265
370850709011035,8,3,0,5,54,57.4,9.6,40.9,107.9,120554.10168228291,439.3557382406573
370850711022004,2,0,0,2,31,28.7,2.4,21.4,52.5,104541.533059762,167.11124288103673
370850708011042,0,0,0,0,43,30.1,0,25.8,55.9,160515.85807545856,55.97546480847038
370850704011019,0,0,0,0,1,0.7,0,0.6,1.3,178996.91841920835,175.36603184244316
370850709021013,0,0,0,0,15,10.5,0,9,19.5,153572.262642657,8195.222300084662
370850709011000,0,0,0,0,26,18.2,0,15.6,33.8,142822.46746935506,347.5633687331194
370850712021003,2,0,0,2,15,17.5,2.4,11.8,31.7,98742.25355651182,4247.145878139254
370850703002004,0,0,0,0,14,9.8,0,8.4,18.2,162263.97901831663,14235.929470938947
370850707002023,10,1,9,0,1,77.00000000000001,12,43.4,132.4,198273.07339001293,2901.606937650724
370850711022006,7,7,0,0,44,35.7,8.4,29.9,74,100854.00061708811,74.46916779510856
370850701002036,28,0,0,28,52,134.4,33.6,70.4,238.4,147433.26858196696,17883.870866856232
370850703001021,0,0,0,0,9,6.3,0,5.4,11.7,155411.65845396783,914.4870217670626
370850703001015,0,0,0,0,13,9.1,0,7.8,16.9,157941.48384149527,1183.84674255352
370850714011006,0,0,0,0,4,2.8,0,2.4,5.2,76243.36403938905,526.5912681279541
370850714023012,0,0,0,0,6,4.2,0,3.6,7.8,60678.39434431749,229.03066755251808
370850708011043,0,0,0,0,8,5.6,0,4.8,10.4,168726.51434455984,181.9879636409471
370850704023030,0,0,0,0,8,5.6,0,4.8,10.4,173557.0836735052,5841.049932878292
370850708011015,0,0,0,0,4,2.8,0,2.4,5.2,165775.8879863566,1778.1643175326012
370850712011013,5,5,0,0,4,6.3,6,4.9,17.2,115817.30425497892,25.607715286533857
