id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
480610140021017,3,0,0,3,8,16.1,3.6,9,28.7,765519.3832681658,67758.12097565648
480610108011012,0,0,0,0,6,4.2,0,3.6,7.8,657604.3992149963,37371.37527797102
480610125062008,0,0,0,0,4,2.8,0,2.4,5.2,963398.154755846,61.17412836153325
480610125111021,0,0,0,0,1,0.7,0,0.6,1.3,789494.5100053046,515.3381000462157
480610114011006,11,0,9,2,1,83.3,13.2,45.7,142.2,944570.2393993711,21946.97271087861
480610119082034,0,0,0,0,5,3.5,0,3,6.5,442940.675686464,337.6620505256442
480610136001001,2,0,0,2,19,20.3,2.4,14.2,36.9,761692.3551129893,36410.987424088285
480610140011008,0,0,0,0,12,8.4,0,7.2,15.6,713241.4479748227,51023.73015206014
480610142021062,0,0,0,0,31,21.7,0,18.6,40.3,634734.2690047595,181.47084970030426
480610115005020,13,0,0,13,25,63,15.6,33.2,111.8,940467.5599560263,20386.99023518552
480610103012014,0,0,0,0,8,5.6,0,4.8,10.4,332584.939540438,259.3488181182831
480610105001026,0,0,0,0,10,7,0,6,13,637177.5401935214,9054.659384100092
480610132073015,0,0,0,0,15,10.5,0,9,19.5,670469.5776641804,2758.4801782220143
480610125101012,0,0,0,0,32,22.4,0,19.2,41.6,691813.015530683,459.79390842148183
480610144011029,0,0,0,0,19,13.3,0,11.4,24.7,952225.8303778177,3231.4250794407226
480610131062004,0,0,0,0,40,28,0,24,52,858839.7711122908,54925.73607978614
480610134021004,0,0,0,0,15,10.5,0,9,19.5,829453.8103060303,40105.86650314688
480610130043002,0,0,0,0,40,28,0,24,52,841395.1766852421,72168.96746715262
480610123042004,0,0,0,0,7,4.9,0,4.2,9.1,379208.6133997376,8281.889938446719
480610132061005,0,0,0,0,41,28.7,0,24.6,53.3,696507.3010103544,2430.395303097364
480610102012061,0,0,0,0,2,1.4,0,1.2,2.6,438021.6733387301,93.88369931982328
480610112001036,0,0,0,0,12,8.4,0,7.2,15.6,752615.3310356871,75037.3305352176
480610108013030,10,0,0,10,13,44.1,12,21.8,77.9,783267.8706118676,67472.07786976513
480610103043037,0,0,0,0,2,1.4,0,1.2,2.6,609160.5075804091,2726.9181523548305
480610134011025,0,0,0,0,17,11.9,0,10.2,22.1,836345.1911277933,46308.74778621791
480610125173023,3,0,3,0,19,38.5,3.6,25.5,67.6,877018.642232487,8368.300013253813
480610138022005,0,0,0,0,12,8.4,0,7.2,15.6,826715.2111624551,44920.39450116657
480610125142013,0,0,0,0,16,11.2,0,9.6,20.8,871548.4000963174,15760.796342779277
480610107003010,2,0,0,2,7,11.9,2.4,7,21.3,604134.7555604386,48646.93748350857
480610116011006,0,0,0,0,19,13.3,0,11.4,24.7,953414.321030043,23746.497916345717
480610123051082,2,0,2,0,14,26.6,2.4,17.8,46.8,93065.42271315055,10952.126559997561
480610125112078,11,0,11,0,10,99.4,13.2,57.7,170.3,701234.1112374873,189.3618623893718
480610116021052,0,0,0,0,11,7.7,0,6.6,14.3,953607.221542401,22762.015396222014
480610111001037,0,0,0,0,6,4.2,0,3.6,7.8,737038.9551333152,77008.00516709108
480610111003006,0,0,0,0,12,8.4,0,7.2,15.6,773567.797527822,46865.137522195735
480610121043008,0,0,0,0,6,4.2,0,3.6,7.8,750122.7161720761,153.23149277858292
480610126173007,0,0,0,0,14,9.8,0,8.4,18.2,888669.8393397504,13676.957088109079
480610120024012,0,0,0,0,1,0.7,0,0.6,1.3,539160.0576020994,226.74285175803521
480610135002007,0,0,0,0,8,5.6,0,4.8,10.4,824293.752661786,38147.6226667232
480610138011027,9,0,0,9,23,47.6,10.8,26.4,84.8,820751.0448622009,72741.52157257286
480610132071004,8,8,0,0,15,16.1,9.6,13,38.7,754755.073663526,980.1817914473297
480610138021017,14,0,14,0,35,142.1,16.8,86.8,245.7,816376.7392071903,67716.82232110407
480610124031006,0,0,0,0,4,2.8,0,2.4,5.2,838015.3541959388,477.1726461167781
480610122022010,21,6,0,15,30,77.7,25.2,42,144.9,260492.50492964927,193.25037917375394
480610117021013,1,1,0,0,18,13.3,1.2,11.3,25.8,897277.1081606308,14871.738183117659
480610103011014,0,0,0,0,8,5.6,0,4.8,10.4,410532.8358763362,3305.831443777846
480610103012006,0,0,0,0,2,1.4,0,1.2,2.6,381555.1998582222,50.928335481824476
480610137003017,0,0,0,0,17,11.9,0,10.2,22.1,746813.9888926141,59046.68161593181
480610140021014,0,0,0,0,40,28,0,24,52,780630.010892906,66269.76329237671
480610144012011,0,0,0,0,29,20.3,0,17.4,37.7,955169.0662276397,3996.5622122348354
480610140012011,0,0,0,0,2,1.4,0,1.2,2.6,792027.019357703,69451.61459032979
480610123042018,0,0,0,0,2,1.4,0,1.2,2.6,352614.7547535061,6517.870721677066
480610123042002,39,4,15,20,10,205.8,46.8,106.5,359.1,345234.2207720763,7095.247839751924
480610103043038,0,0,0,0,6,4.2,0,3.6,7.8,607874.3493310248,2360.362008555903
480610126081011,0,0,0,0,132,92.4,0,79.2,171.6,769101.7398239742,12056.402244776335
480610124024004,0,0,0,0,1,0.7,0,0.6,1.3,768204.8511384599,285.1727630691556
480610102011006,0,0,0,0,6,4.2,0,3.6,7.8,486402.90193147236,120.54865540166145
480610142022168,0,0,0,0,5,3.5,0,3,6.5,415134.1821235273,1526.406316677833
480610108013019,50,21,0,29,12,124.6,60,58.3,242.9,733135.8831848985,71769.61548757323
480610133031001,0,0,0,0,87,60.9,0,52.2,113.1,707658.582579943,13205.911999380449
480610126162002,112,0,0,112,63,436.1,134.4,194.6,765.1,905802.0170965986,11424.146961726061
480610125092016,0,0,0,0,15,10.5,0,9,19.5,875221.0626587125,23469.669075922506
480610121051013,0,0,0,0,6,4.2,0,3.6,7.8,599852.2595530379,95.86382784039064
480610104051010,0,0,0,0,21,14.7,0,12.6,27.3,606435.7113624259,4881.8240343750485
480610114022005,0,0,0,0,1,0.7,0,0.6,1.3,476417.1209424233,44.02484822466835
480610136001009,7,7,0,0,9,11.2,8.4,8.9,28.5,771121.4122707756,32002.54026925773
480610132071000,7,7,0,0,145,106.4,8.4,90.5,205.3,769218.1679540963,3470.788715195975
480610144031023,0,0,0,0,12,8.4,0,7.2,15.6,861632.0398630494,1028.1451406675174
480610121043006,0,0,0,0,1,0.7,0,0.6,1.3,678442.6493440832,70.63152620546178
480610141033005,0,0,0,0,3,2.1,0,1.8,3.9,566466.6758020929,884.8218766799745
480610141021011,0,0,0,0,15,10.5,0,9,19.5,729901.8482479709,1194.5142162343113
480610123041017,0,0,0,0,7,4.9,0,4.2,9.1,371821.3876642791,7296.0485646359375
480610123014006,2,2,0,0,2,2.8,2.4,2.2,7.4,94514.16233731777,192.0445127104109
480610131041004,7,0,0,7,45,56,8.4,36.8,101.2,748648.8510495351,8046.884561715426
480610119033022,0,0,0,0,10,7,0,6,13,358309.9204151728,442.72369740199395
480610110001008,0,0,0,0,21,14.7,0,12.6,27.3,753918.4422445773,50275.571500504266
480610121041027,0,0,0,0,3,2.1,0,1.8,3.9,896931.4930919606,953.9352436624241
480610101031029,0,0,0,0,1,0.7,0,0.6,1.3,312174.88644019834,32.337789682585765
480610106041007,11,0,11,0,2,93.8,13.2,52.9,159.9,703472.196376718,5630.576351291375
480610120033028,0,0,0,0,13,9.1,0,7.8,16.9,763085.3815890059,16813.85335946402
480610101032021,0,0,0,0,3,2.1,0,1.8,3.9,517103.4372896369,127.90054625693188
480610119032012,10,0,0,10,47,67.9,12,42.2,122.1,349327.99043789034,123.39011212803993
480610125103010,22,0,0,22,80,133,26.4,78.8,238.2,780305.5472932989,411.514996927927
480610119081039,0,0,0,0,14,9.8,0,8.4,18.2,528635.6242482939,2936.9728097186826
480610122013056,0,0,0,0,6,4.2,0,3.6,7.8,596520.2107953299,164.44844645084532
480610140012032,11,5,6,0,10,60.9,13.2,36.7,110.8,777601.9262380407,61123.58149953125
480610104041002,56,39,10,7,73,186.9,67.2,120.1,374.2,708919.2965856934,1734.0893372618993
480610123041015,40,4,0,36,58,169.4,48,87.2,304.6,388022.7439103217,8933.149751816105
480610123042008,0,0,0,0,6,4.2,0,3.6,7.8,344494.451629923,7163.342941180831
480610134012001,29,0,0,29,28,121.1,34.8,57.4,213.3,816379.334992553,50453.18245821383
480610103011042,0,0,0,0,4,2.8,0,2.4,5.2,417650.7762398934,3507.787886465398
480610112002013,0,0,0,0,11,7.7,0,6.6,14.3,755218.2173022557,73447.6079230913
480610103033059,0,0,0,0,41,28.7,0,24.6,53.3,380583.72004376294,186.10971225311027
480610123011007,0,0,0,0,31,21.7,0,18.6,40.3,271096.0980650925,1338.3142487335856
480610116022053,0,0,0,0,7,4.9,0,4.2,9.1,948472.9473541357,10072.341021405111
480610135002025,0,0,0,0,4,2.8,0,2.4,5.2,836895.5717123538,41980.39135572273
480610115003065,6,6,0,0,20,18.2,7.2,15,40.4,940165.2001602108,25438.443269757383
480610123042019,0,0,0,0,2,1.4,0,1.2,2.6,315953.6980057626,6220.4820361365255
480610134011018,17,17,0,0,14,21.7,20.4,16.9,58.99999999999999,814063.2310490191,46573.17019418831
480610144011042,0,0,0,0,11,7.7,0,6.6,14.3,954357.086689449,2808.210983657452
480610132071009,0,0,0,0,2,1.4,0,1.2,2.6,695858.5632793073,1153.1172041418472
480610102054031,116,0,0,116,2,407.4,139.2,163.6,710.2,653474.7960479989,3799.4516718704745
480610102011039,0,0,0,0,14,9.8,0,8.4,18.2,600963.131681495,1226.6348960255104
480610125161006,0,0,0,0,18,12.6,0,10.8,23.4,823472.9144106074,10778.100938894922
480610124022006,0,0,0,0,10,7,0,6,13,939455.6159206075,7073.411181455528
480610119061006,0,0,0,0,5,3.5,0,3,6.5,488978.91585380235,739.7148504344435
480610123051125,0,0,0,0,5,3.5,0,3,6.5,104242.82661249665,12348.391098908818
480610131041008,0,0,0,0,110,77,0,66,143,733194.4780891569,11625.035274691543
480610126071012,2,2,0,0,17,13.3,2.4,11.2,26.9,779052.9760040612,4081.477543735219
480610126161011,0,0,0,0,14,9.8,0,8.4,18.2,887593.3416303248,17090.5549810089
480610111001025,0,0,0,0,78,54.6,0,46.8,101.4,759898.804938514,56310.645627451035
480610119041026,0,0,0,0,15,10.5,0,9,19.5,508207.6570315843,7558.0045000144
480610125111027,0,0,0,0,9,6.3,0,5.4,11.7,817739.3603191881,212.38101867615478
480610123043015,25,0,16,9,3,168,30,89.6,287.6,523398.97353428433,7004.128636093596
480610125082031,2,0,2,0,2,18.2,2.4,10.6,31.2,783368.926628431,327.18828695445654
480610101011028,0,0,0,0,15,10.5,0,9,19.5,430917.69314421056,5720.943248149744
480610101012050,0,0,0,0,3,2.1,0,1.8,3.9,58352.415444959486,3.6448824155534356
480610113021006,3,0,0,3,32,32.9,3.6,23.4,59.9,760709.8849380921,20499.198582791687
480610120024002,2,2,0,0,34,25.2,2.4,21.4,48.99999999999999,662969.8290666975,1566.7584774548156
480610125102012,0,0,0,0,9,6.3,0,5.4,11.7,790125.2989669978,443.98022202787115
480610109001078,49,0,0,49,1,172.2,58.8,69.2,300.2,766314.0031731719,56614.49043090732
480610138011018,0,0,0,0,14,9.8,0,8.4,18.2,804314.5641848916,73229.23683550434
480610119072032,0,0,0,0,4,2.8,0,2.4,5.2,406225.1928952731,53.743394407729596
480610115003035,0,0,0,0,11,7.7,0,6.6,14.3,941406.5650156476,24568.498868231152
480610117022013,0,0,0,0,10,7,0,6,13,936322.8533656783,26664.503493300013
480610117022020,0,0,0,0,11,7.7,0,6.6,14.3,926013.6501506941,22571.77994340983
480610124021011,7,5,0,2,94,76.3,8.4,61.7,146.4,911453.5153139234,5524.475460042174
480610124021005,0,0,0,0,12,8.4,0,7.2,15.6,889036.9012916592,903.4081748197897
480610124024030,0,0,0,0,19,13.3,0,11.4,24.7,937754.9144611146,9477.70463881565
480610124022004,0,0,0,0,18,12.6,0,10.8,23.4,946115.0999010592,9108.687957220485
480610103011000,0,0,0,0,9,6.3,0,5.4,11.7,384483.9628950784,2388.2073444871044
480610116021027,154,45,11,98,1,467.6,184.8,212,864.4,964677.5266736953,25651.130072027307
480610126083011,109,25,0,84,91,375.2,130.8,184.7,690.7,725361.7030196035,5206.527252180841
480610127002084,0,0,0,0,8,5.6,0,4.8,10.4,637433.442023446,281.3925742759932
480610139021008,0,0,0,0,31,21.7,0,18.6,40.3,792954.0952607405,26868.168823356078
480610111003014,14,7,0,7,6,33.6,16.8,16.9,67.3,785967.177439273,41903.42853087785
480610122022020,0,0,0,0,3,2.1,0,1.8,3.9,756701.8469192933,193.66311807418438
480610124024001,8,0,0,8,22,43.4,9.6,24.4,77.4,888638.3034471849,427.6040370819632
480610102012050,0,0,0,0,6,4.2,0,3.6,7.8,345297.25446071784,34.026483664854226
480610125091010,0,0,0,0,111,77.7,0,66.6,144.3,881582.7963186774,15582.714075178512
480610126071007,0,0,0,0,32,22.4,0,19.2,41.6,811473.7433478772,8471.058072665124
480610125101005,0,0,0,0,24,16.8,0,14.4,31.2,692671.9215102238,534.7338961359974
480610122023059,0,0,0,0,16,11.2,0,9.6,20.8,281877.5392041075,225.11226162742446
480610125082004,0,0,0,0,3,2.1,0,1.8,3.9,841003.812943006,688.0656077149694
480610122022037,2,0,0,2,10,14,2.4,8.8,25.2,152146.43346083394,34.93691291665128
480610135001011,13,13,0,0,15,19.6,15.6,15.5,50.7,819641.7906315181,18652.991722201208
480610133092006,0,0,0,0,21,14.7,0,12.6,27.3,591986.6240907903,1494.1340992512228
480610137003011,0,0,0,0,30,21,0,18,39,756414.5699520002,56678.61556789049
480610102012065,0,0,0,0,9,6.3,0,5.4,11.7,414677.9355934766,66.9746052999423
480610142021147,0,0,0,0,2,1.4,0,1.2,2.6,566410.2164947646,94.50039398251234
480610114012023,0,0,0,0,38,26.6,0,22.8,49.4,551509.6276225941,72.98691818422526
480610123041026,0,0,0,0,9,6.3,0,5.4,11.7,364425.03440159047,8785.500658804109
480610145022005,0,0,0,0,34,23.8,0,20.4,44.2,782015.3039887217,13927.514869910106
480610120042022,5,0,0,5,47,50.4,6,35.2,91.6,563053.572923861,3297.8664871747983
480610123012004,0,0,0,0,15,10.5,0,9,19.5,237329.4544948667,1565.5298371117528
480610137004027,0,0,0,0,11,7.7,0,6.6,14.3,739329.1126769363,59214.477434700486
480610110002003,0,0,0,0,21,14.7,0,12.6,27.3,784933.2108293673,45148.1738351359
480610125081030,0,0,0,0,9,6.3,0,5.4,11.7,739995.1671144069,262.49926825880664
480610118013014,0,0,0,0,7,4.9,0,4.2,9.1,824472.5495937091,43078.60058303991
480610144011031,0,0,0,0,11,7.7,0,6.6,14.3,941218.3502183349,2045.2753704734087
480610144011018,0,0,0,0,15,10.5,0,9,19.5,955714.3290316432,3493.9803729340724
480610125131030,0,0,0,0,23,16.1,0,13.8,29.9,921302.8495546842,460.6120619800153
480610109002004,0,0,0,0,16,11.2,0,9.6,20.8,690842.752404285,77859.33041281477
480610102052022,3,1,0,2,21,22.4,3.6,15.9,41.9,567423.959854238,1683.7743045576474
480610130043001,4,2,0,2,159,119.7,4.8,99.2,223.7,846412.9866135211,51531.7248961118
480610122013041,2,2,0,0,10,8.4,2.4,7,17.8,713649.9372237267,87.91120800251481
480610102052016,0,0,0,0,3,2.1,0,1.8,3.9,553073.4281528573,1180.53784361954
480610101032030,17,17,0,0,6,16.1,20.4,12.1,48.6,367210.08228292695,319.56529135398495
480610143001012,0,0,0,0,36,25.2,0,21.6,46.8,690846.4717698828,10933.230841931028
480610111002015,0,0,0,0,22,15.4,0,13.2,28.6,764372.5676583303,59740.03996124401
480610118012023,0,0,0,0,24,16.8,0,14.4,31.2,834422.4802524934,25746.107468318463
480610109002026,0,0,0,0,17,11.9,0,10.2,22.1,698235.619492452,78664.89246498336
480610124024025,0,0,0,0,18,12.6,0,10.8,23.4,921399.3474823398,9500.04726101122
480610126072023,14,0,6,8,2,79.8,16.8,40.6,137.2,816470.270515344,10411.275825519957
480610125121006,0,0,0,0,27,18.9,0,16.2,35.1,797147.6222362465,5207.16323214456
480610126162006,0,0,0,0,16,11.2,0,9.6,20.8,914915.8642407754,12029.741114868313
480610103011056,0,0,0,0,19,13.3,0,11.4,24.7,428726.128669534,3049.563304988685
480610125171009,0,0,0,0,12,8.4,0,7.2,15.6,823664.7839561529,3227.7885118498207
480610131061008,0,0,0,0,4,2.8,0,2.4,5.2,803857.5246065274,43322.46790134283
480610135002003,0,0,0,0,5,3.5,0,3,6.5,855044.2738069406,46682.20017848402
480610140012008,1,0,0,1,19,16.8,1.2,12.8,30.8,791134.7842089736,70561.74117953872
480610116022004,0,0,0,0,9,6.3,0,5.4,11.7,949418.0846377014,10339.99661688518
480610140022033,0,0,0,0,13,9.1,0,7.8,16.9,729481.8759443023,52529.22478157164
480610104031031,0,0,0,0,55,38.5,0,33,71.5,509925.3902973078,908.1032183404103
480610122023002,0,0,0,0,13,9.1,0,7.8,16.9,92746.63202324777,45.61514710619343
480610111003012,0,0,0,0,14,9.8,0,8.4,18.2,778382.063767508,45527.99627826807
480610101011042,0,0,0,0,2,1.4,0,1.2,2.6,427764.48540145776,1488.093590695354
480610118021008,0,0,0,0,22,15.4,0,13.2,28.6,805984.555244957,3535.4459156925077
480610121043009,13,13,0,0,20,23.1,15.6,18.5,57.2,855362.1160996422,155.57188032586498
480610122021011,7,4,3,0,28,47.6,8.4,32.9,88.9,744928.5594071334,190.219334959232
480610111002016,0,0,0,0,13,9.1,0,7.8,16.9,757776.4047756915,55941.7054699328
480610135002004,0,0,0,0,6,4.2,0,3.6,7.8,852777.0848081423,43115.07644269188
480610138012017,63,0,0,63,13,229.6,75.6,95.99999999999999,401.2,809875.6269111012,72947.75252244782
480610142021002,3,0,0,3,3,12.6,3.6,5.999999999999999,22.2,244433.66556696806,79.38325866472692
480610125113007,0,0,0,0,19,13.3,0,11.4,24.7,884553.141757669,640.6741844742604
480610123051192,0,0,0,0,12,8.4,0,7.2,15.6,208697.57253193244,954.4961880757157
480610106021006,5,3,0,2,9,15.4,6,9.7,31.1,589873.9222390739,13695.894358791873
480610122012025,0,0,0,0,17,11.9,0,10.2,22.1,874902.3886199641,541.1912453414461
480610106031007,0,0,0,0,13,9.1,0,7.8,16.9,594434.5932526449,8331.77755162054
480610122032001,0,0,0,0,5,3.5,0,3,6.5,528079.1090381441,63.95342326158455
480610122023061,0,0,0,0,14,9.8,0,8.4,18.2,224635.35653529988,218.68870031458437
480610116012029,0,0,0,0,10,7,0,6,13,958397.519655105,3258.3506000396155
480610121051114,11,0,0,11,62,81.9,13.2,52.6,147.7,552337.4193250794,249.89048646308763
480610144012007,0,0,0,0,33,23.1,0,19.8,42.9,959678.1212566745,4372.433518927538
480610123044006,0,0,0,0,25,17.5,0,15,32.5,388010.0235984954,10670.210897866908
480610139021006,2,0,0,2,41,35.7,2.4,27.4,65.5,783919.5550013286,23437.02148010344
480610140012002,17,0,0,17,2,60.9,20.4,24.999999999999996,106.3,789616.3892400133,73855.77210490145
480610106042017,0,0,0,0,7,4.9,0,4.2,9.1,625354.1497832111,3140.447569101619
480610116022018,0,0,0,0,32,22.4,0,19.2,41.6,961548.1835303672,14015.92700153547
480610122013062,0,0,0,0,4,2.8,0,2.4,5.2,728220.0251314,121.93134622166704
480610117022021,0,0,0,0,4,2.8,0,2.4,5.2,922588.1773234793,21076.297840384745
480610125171007,24,2,21,1,198,319.9,28.8,219.9,568.6,825321.6536229757,3048.8690510053184
480610128004014,0,0,0,0,21,14.7,0,12.6,27.3,711046.3639392823,12615.532950781311
480610103013111,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,533238.8427866074,877.5660416294149
480610110002000,22,0,19,3,30,191.1,26.4,111.5,329,767468.3555613467,46921.41184100454
480610103043034,0,0,0,0,6,4.2,0,3.6,7.8,595844.9708004881,1755.2371393184053
480610133062002,0,0,0,0,16,11.2,0,9.6,20.8,681172.2477341206,7142.991497375769
480610126161036,0,0,0,0,18,12.6,0,10.8,23.4,878583.1213400963,18641.667415269356
480610125091005,0,0,0,0,35,24.5,0,21,45.5,906624.4627696183,30078.23925986194
480610124041001,7,0,1,6,4,32.2,8.4,15.5,56.1,964606.5098710255,17171.562626563365
480610124023032,0,0,0,0,10,7,0,6,13,956731.3540117355,16854.721557786146
480610121062026,0,0,0,0,5,3.5,0,3,6.5,793247.8355456858,566.3398503938812
480610120022010,9,0,0,9,16,42.7,10.8,22.2,75.7,514895.74514561484,2612.326163731921
480610128004016,0,0,0,0,18,12.6,0,10.8,23.4,744873.9042980069,22845.16871229347
480610126151002,0,0,0,0,30,21,0,18,39,843105.0320635561,10500.8621394059
480610126171003,969,20,457,492,76,5628,1162.8,2892.3,9683.1,920851.5051805017,21810.83079524333
480610102011008,0,0,0,0,15,10.5,0,9,19.5,465582.99508864403,95.25891134349443
480610103012019,0,0,0,0,13,9.1,0,7.8,16.9,386012.2380394336,2776.185572136522
480610109001077,21,0,6,15,2,104.3,25.2,50.4,179.9,773572.2861847581,55602.97200576865
480610125142009,0,0,0,0,44,30.8,0,26.4,57.2,852071.6591940718,13516.403546466192
480610141022007,0,0,0,0,1,0.7,0,0.6,1.3,621348.329382492,171.7249727097153
480610133052008,0,0,0,0,10,7,0,6,13,647495.4898303798,5348.422704599942
480610137003005,353,0,0,353,7,1240.4,423.6,498.4,2162.4,764631.7536595631,52193.286437106784
480610144032010,0,0,0,0,15,10.5,0,9,19.5,679983.0164192064,6656.2503717287755
480610107003027,0,0,0,0,19,13.3,0,11.4,24.7,652009.2226447156,47947.57003106878
480610114023026,0,0,0,0,1,0.7,0,0.6,1.3,943485.1960701157,29152.862411568658
480610123051120,0,0,0,0,8,5.6,0,4.8,10.4,91814.47574802683,10434.944315534924
480610103013046,0,0,0,0,10,7,0,6,13,302391.7902542237,42.76692126641327
480610131041009,0,0,0,0,17,11.9,0,10.2,22.1,763630.9909509283,17503.676045562428
480610113023000,1,0,0,1,27,22.4,1.2,17.6,41.2,687453.8996516252,6308.624592903177
480610102012053,22,22,0,0,5,18.9,26.4,14,59.3,360923.7285510065,129.56164554263037
480610125111008,0,0,0,0,12,8.4,0,7.2,15.6,826326.1735931379,130.78132914766624
480610119042015,0,0,0,0,1,0.7,0,0.6,1.3,462316.192225142,2706.0993274790417
480610116022029,0,0,0,0,9,6.3,0,5.4,11.7,933944.838958294,4135.036842030439
480610121051076,0,0,0,0,18,12.6,0,10.8,23.4,608329.0061926936,289.0102150415697
480610125091012,0,0,0,0,10,7,0,6,13,880745.5872466551,16326.51607690619
480610125163001,0,0,0,0,12,8.4,0,7.2,15.6,815339.7726158403,4809.443730644904
480610109002015,0,0,0,0,21,14.7,0,12.6,27.3,689896.6017443392,78839.68066619957
480610136002012,0,0,0,0,12,8.4,0,7.2,15.6,737925.1851968594,29500.971335517705
480610126172002,0,0,0,0,21,14.7,0,12.6,27.3,914454.941038533,11470.64073541842
480610106033001,0,0,0,0,61,42.7,0,36.6,79.3,616483.2037389829,8452.825563862887
480610142022006,0,0,0,0,11,7.7,0,6.6,14.3,414828.70944733964,1528.995930662623
480610104062033,0,0,0,0,18,12.6,0,10.8,23.4,679292.4317891542,4067.300173733329
480610124021028,0,0,0,0,6,4.2,0,3.6,7.8,941978.811608794,7129.565316111279
480610123041016,1,0,0,1,9,9.8,1.2,6.8,17.8,396081.00866978854,8325.450944373435
480610101011051,0,0,0,0,7,4.9,0,4.2,9.1,377407.1824064673,406.9282371381746
480610121051032,0,0,0,0,22,15.4,0,13.2,28.6,577078.4297458603,41.195622705542576
480610124023024,0,0,0,0,8,5.6,0,4.8,10.4,944327.2273547567,11061.606983710586
480610117012004,0,0,0,0,31,21.7,0,18.6,40.3,883693.337072547,22867.9109379568
480610114022029,0,0,0,0,4,2.8,0,2.4,5.2,767145.9440819075,1115.1450469484912
480610140012000,11,11,0,0,13,16.8,13.2,13.3,43.3,775076.9652059952,73570.62543194294
480610108013010,5,0,0,5,19,30.8,6,18.4,55.2,750551.242276655,67494.5944417194
480610134021008,0,0,0,0,6,4.2,0,3.6,7.8,825271.2216779264,39247.478854900895
480610120021002,1,1,0,0,16,11.9,1.2,10.1,23.2,607721.413674936,172.81897713524359
480610108022029,0,0,0,0,14,9.8,0,8.4,18.2,674059.3272616345,9281.167099682378
480610141031012,0,0,0,0,16,11.2,0,9.6,20.8,511759.04047367896,231.42841541936022
480610101023028,0,0,0,0,6,4.2,0,3.6,7.8,212659.52692212665,58.948464547603024
480610102052018,0,0,0,0,9,6.3,0,5.4,11.7,566858.1720496215,1689.6720773755214
480610125091003,11,0,6,5,36,93.1,13.2,56.8,163.1,912098.0712301112,36812.041376186855
480610106032002,0,0,0,0,26,18.2,0,15.6,33.8,588823.3718222566,8867.14384771926
480610103011054,0,0,0,0,15,10.5,0,9,19.5,429939.33692437544,3139.0588566935394
480610122012036,0,0,0,0,4,2.8,0,2.4,5.2,842522.431538617,482.6222696310175
480610124041003,11,0,0,11,10,45.5,13.2,21.4,80.1,967110.7543357253,13295.557223147554
480610131063015,0,0,0,0,25,17.5,0,15,32.5,759033.8107516693,38474.291232498705
480610130041018,0,0,0,0,21,14.7,0,12.6,27.3,837767.1292686418,76027.23633284315
480610103041001,0,0,0,0,12,8.4,0,7.2,15.6,493101.59398099186,343.5031160839501
480610120024085,0,0,0,0,1,0.7,0,0.6,1.3,321452.7158947664,1.0306636625923118
480610136003005,0,0,0,0,9,6.3,0,5.4,11.7,753517.5515880552,33701.4544929347
480610103011009,0,0,0,0,7,4.9,0,4.2,9.1,404837.6836918976,3058.607860352531
480610122012041,5,0,0,5,1,18.2,6,7.6,31.8,821336.6911126631,74.3806714971812
480610125131043,0,0,0,0,7,4.9,0,4.2,9.1,881913.4266381873,5639.625344646871
480610122013071,0,0,0,0,4,2.8,0,2.4,5.2,534545.466410427,23.76406060181368
480610123051220,0,0,0,0,23,16.1,0,13.8,29.9,195935.31593980565,885.9827274588487
480610123011009,5,5,0,0,14,13.3,6,10.9,30.2,244788.03332140017,1606.423079791289
480610125092018,0,0,0,0,18,12.6,0,10.8,23.4,789333.7381629362,7694.181631168225
480610124031013,0,0,0,0,1,0.7,0,0.6,1.3,852160.8778420748,360.2732160748729
480610102012075,0,0,0,0,5,3.5,0,3,6.5,483377.89784427796,126.1345948758146
480610110003018,3,0,1,2,9,21.7,3.6,12.9,38.2,831672.6486995531,37162.509630747096
480610102012047,9,5,0,4,1,18.2,10.8,8.7,37.7,154710.19818996717,112.08859331802128
480610145023003,0,0,0,0,20,14,0,12,26,750945.0900236497,10547.90440789474
480610133054004,0,0,0,0,17,11.9,0,10.2,22.1,651811.411536313,5555.461254317799
480610139031013,0,0,0,0,18,12.6,0,10.8,23.4,733008.0779355892,10377.47380064081
480610106021012,16,1,0,15,27,72.1,19.2,37.7,129,657075.1529518869,32510.79610249077
480610119063009,0,0,0,0,27,18.9,0,16.2,35.1,555198.433780684,8865.627063885979
480610103031024,4,0,0,4,6,18.2,4.8,9.2,32.2,429873.9793191384,63.24482351817203
480610124031038,0,0,0,0,5,3.5,0,3,6.5,920899.688328657,2212.6698774266797
480610123013036,0,0,0,0,2,1.4,0,1.2,2.6,124916.34804310506,115.34876968721706
480610120041016,283,0,0,283,23,1006.6,339.6,410,1756.2,620540.961281862,3940.702945311749
480610142021075,0,0,0,0,2,1.4,0,1.2,2.6,761677.8074157579,233.89699697258843
480610142022018,0,0,0,0,1,0.7,0,0.6,1.3,95446.8314738408,0.9999129539639987
480610121043021,0,0,0,0,5,3.5,0,3,6.5,647360.1288389681,49.32274358041124
480610124021015,0,0,0,0,55,38.5,0,33,71.5,914172.8697285876,3290.028163163913
480610125112080,7,7,0,0,18,17.5,8.4,14.3,40.2,806042.3639191808,274.2878330441966
